Linux 5.15.0-171-generic (test1orca) 	03/23/26 	_x86_64_	(4 CPU)

13:38:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:42:36     all    1.26    0.00    5.29    0.00    0.00   25.44    0.00    0.00    0.00   68.01
13:42:37     all    2.01    0.00    5.28    0.00    0.00   25.63    0.00    0.00    0.00   67.09
13:42:38     all    1.01    0.00    5.78    0.00    0.00   25.63    0.00    0.00    0.00   67.59
13:42:39     all    1.51    0.00    6.55    0.25    0.00   25.44    0.00    0.00    0.00   66.25
13:42:40     all    1.76    0.00    6.05    0.00    0.00   25.44    0.00    0.00    0.00   66.75
13:42:41     all    2.01    0.00    6.02    0.00    0.00   25.56    0.00    0.00    0.00   66.42
13:42:42     all    1.72    0.00    7.64    0.00    0.00   24.88    0.00    0.00    0.00   65.76
13:42:43     all    0.76    0.00    6.08    0.00    0.00   25.32    0.00    0.00    0.00   67.85
13:42:44     all    1.52    0.00    5.81    0.00    0.00   25.25    0.00    0.00    0.00   67.42
13:42:45     all    1.75    0.00    6.77    0.00    0.00   25.31    0.00    0.00    0.00   66.17
13:42:46     all    0.50    0.00    6.70    0.00    0.00   25.06    0.00    0.00    0.00   67.74
13:42:47     all    0.76    0.00    5.33    0.00    0.00   25.38    0.00    0.00    0.00   68.53
13:42:48     all    1.79    0.00    4.85    0.00    0.00   25.51    0.00    0.00    0.00   67.86
13:42:49     all    1.26    0.00    6.31    0.00    0.00   25.76    0.00    0.00    0.00   66.67
13:42:50     all    2.26    0.00    5.78    0.00    0.00   25.63    0.00    0.00    0.00   66.33
13:42:51     all    2.02    0.00    7.83    0.00    0.00   25.25    0.00    0.00    0.00   64.90
13:42:52     all    1.24    0.00    8.96    0.00    0.00   25.37    0.00    0.00    0.00   64.43
13:42:53     all    2.03    0.00    7.11    0.00    0.00   25.89    0.00    0.00    0.00   64.97
13:42:54     all    1.50    0.00    8.48    0.00    0.00   25.69    0.00    0.00    0.00   64.34
13:42:55     all    1.78    0.00    6.09    0.00    0.00   25.63    0.00    0.00    0.00   66.50
13:42:56     all    2.81    0.00    6.63    0.00    0.00   25.51    0.00    0.00    0.00   65.05
13:42:57     all    1.00    0.00    7.48    0.00    0.00   25.94    0.00    0.00    0.00   65.59
13:42:58     all    2.02    0.00    8.06    0.00    0.00   25.94    0.00    0.00    0.00   63.98
13:42:59     all    2.26    0.00    8.02    0.00    0.00   25.81    0.00    0.00    0.00   63.91
13:43:00     all    2.28    0.00    6.85    0.00    0.00   25.63    0.00    0.00    0.00   65.23
13:43:01     all    2.27    0.00    7.05    0.00    0.00   25.19    0.00    0.00    0.00   65.49
13:43:02     all    2.87    0.00    8.88    0.00    0.00   20.10    0.00    0.00    0.00   68.15
13:43:03     all    2.44    0.00   11.65    0.00    0.00   10.30    0.00    0.00    0.00   75.61
13:43:04     all    2.21    0.00   15.47    0.00    0.00    5.80    0.00    0.00    0.00   76.52
13:43:05     all    2.17    0.00   23.31    0.27    0.00    5.69    0.00    0.00    0.00   68.56
13:43:06     all    3.12    0.00   14.55    0.00    0.00    9.09    0.00    0.00    0.00   73.25
13:43:07     all    0.50    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.50
13:43:08     all    1.27    0.00    2.54    0.00    0.00    0.00    0.00    0.00    0.00   96.19
13:43:09     all    2.75    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.00   94.75
13:43:10     all    1.77    0.00    2.78    0.00    0.00    0.00    0.00    0.00    0.00   95.45
13:43:11     all    1.51    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   96.48
13:43:12     all    2.04    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.18
13:43:13     all    1.76    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   95.73
13:43:14     all    1.52    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   96.72
13:43:15     all    2.01    0.00    2.26    0.25    0.00    0.25    0.00    0.00    0.00   95.23
13:43:16     all    1.26    0.00    2.52    0.00    0.00    0.25    0.00    0.00    0.00   95.97
13:43:17     all    0.25    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   99.00
13:43:18     all    1.77    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:43:19     all    4.50    0.00    2.75    0.00    0.00    0.00    0.00    0.00    0.00   92.75
13:43:20     all    2.01    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   95.98
13:43:21     all    2.03    0.00    1.78    0.00    0.00    0.25    0.00    0.00    0.00   95.94
13:43:22     all    1.51    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   96.22
13:43:23     all    2.49    0.00    2.49    0.00    0.00    0.00    0.00    0.00    0.00   95.01
