part,scenario,stagger_delay,run,client_id,group,total_duration_s,total_bytes,layer_digest_short,layer_duration_s,layer_size,layer_status,layer_cache_status
stagger,A,0,1,26,2,34.446,410464994,sha256:a793e3c6bce8,34.4011,236030458,200,unknown
stagger,A,0,1,26,2,34.446,410464994,sha256:10c3183ecaa6,4.1902,6085049,200,unknown
stagger,A,0,1,26,2,34.446,410464994,sha256:15991188a884,5.9879,25656055,200,unknown
stagger,A,0,1,26,2,34.446,410464994,sha256:5142ad1c6011,0.1622,250,200,unknown
stagger,A,0,1,27,2,34.446,410464994,sha256:299c82f5afaa,0.1356,6525,200,unknown
stagger,A,0,1,27,2,34.446,410464994,sha256:866771c43bf5,14.6221,49293124,200,unknown
stagger,A,0,1,27,2,34.446,410464994,sha256:ed881fbf1b07,10.1081,25614562,200,unknown
stagger,A,0,1,27,2,34.446,410464994,sha256:9da421ddeb65,20.9065,67778971,200,unknown
stagger,A,0,1,27,2,34.446,410464994,sha256:a793e3c6bce8,34.4002,236030458,200,unknown
stagger,A,0,1,27,2,34.446,410464994,sha256:10c3183ecaa6,4.1842,6085049,200,unknown
stagger,A,0,1,27,2,34.446,410464994,sha256:15991188a884,5.9946,25656055,200,unknown
stagger,A,0,1,27,2,34.446,410464994,sha256:5142ad1c6011,0.1481,250,200,unknown
stagger,A,0,1,28,2,34.446,410464994,sha256:299c82f5afaa,0.1338,6525,200,unknown
stagger,A,0,1,28,2,34.446,410464994,sha256:866771c43bf5,14.6206,49293124,200,unknown
stagger,A,0,1,28,2,34.446,410464994,sha256:ed881fbf1b07,10.1099,25614562,200,unknown
stagger,A,0,1,28,2,34.446,410464994,sha256:9da421ddeb65,20.9032,67778971,200,unknown
stagger,A,0,1,28,2,34.446,410464994,sha256:a793e3c6bce8,34.3987,236030458,200,unknown
stagger,A,0,1,28,2,34.446,410464994,sha256:10c3183ecaa6,4.1860,6085049,200,unknown
stagger,A,0,1,28,2,34.446,410464994,sha256:15991188a884,5.9854,25656055,200,unknown
stagger,A,0,1,28,2,34.446,410464994,sha256:5142ad1c6011,0.1467,250,200,unknown
stagger,A,0,1,29,2,34.446,410464994,sha256:299c82f5afaa,0.1319,6525,200,unknown
stagger,A,0,1,29,2,34.446,410464994,sha256:866771c43bf5,14.6191,49293124,200,unknown
stagger,A,0,1,29,2,34.446,410464994,sha256:ed881fbf1b07,10.1053,25614562,200,unknown
stagger,A,0,1,29,2,34.446,410464994,sha256:9da421ddeb65,20.9035,67778971,200,unknown
stagger,A,0,1,29,2,34.446,410464994,sha256:a793e3c6bce8,34.3979,236030458,200,unknown
stagger,A,0,1,29,2,34.446,410464994,sha256:10c3183ecaa6,4.1844,6085049,200,unknown
stagger,A,0,1,29,2,34.446,410464994,sha256:15991188a884,5.9842,25656055,200,unknown
stagger,A,0,1,29,2,34.446,410464994,sha256:5142ad1c6011,0.1468,250,200,unknown
stagger,A,0,1,30,2,34.446,410464994,sha256:299c82f5afaa,0.1311,6525,200,unknown
stagger,A,0,1,30,2,34.446,410464994,sha256:866771c43bf5,14.6208,49293124,200,unknown
stagger,A,0,1,30,2,34.446,410464994,sha256:ed881fbf1b07,10.1041,25614562,200,unknown
stagger,A,0,1,30,2,34.446,410464994,sha256:9da421ddeb65,20.9014,67778971,200,unknown
stagger,A,0,1,30,2,34.446,410464994,sha256:a793e3c6bce8,34.3953,236030458,200,unknown
stagger,A,0,1,30,2,34.446,410464994,sha256:10c3183ecaa6,4.1797,6085049,200,unknown
stagger,A,0,1,30,2,34.446,410464994,sha256:15991188a884,5.9824,25656055,200,unknown
stagger,A,0,1,30,2,34.446,410464994,sha256:5142ad1c6011,0.1566,250,200,unknown
stagger,A,0,1,31,2,34.445,410464994,sha256:299c82f5afaa,0.1297,6525,200,unknown
stagger,A,0,1,31,2,34.445,410464994,sha256:866771c43bf5,14.6162,49293124,200,unknown
stagger,A,0,1,31,2,34.445,410464994,sha256:ed881fbf1b07,10.1029,25614562,200,unknown
stagger,A,0,1,31,2,34.445,410464994,sha256:9da421ddeb65,20.9008,67778971,200,unknown
stagger,A,0,1,31,2,34.445,410464994,sha256:a793e3c6bce8,34.3925,236030458,200,unknown
stagger,A,0,1,31,2,34.445,410464994,sha256:10c3183ecaa6,4.1815,6085049,200,unknown
stagger,A,0,1,31,2,34.445,410464994,sha256:15991188a884,5.9847,25656055,200,unknown
stagger,A,0,1,31,2,34.445,410464994,sha256:5142ad1c6011,0.1436,250,200,unknown
stagger,A,0,1,32,2,34.446,410464994,sha256:299c82f5afaa,0.1276,6525,200,unknown
stagger,A,0,1,32,2,34.446,410464994,sha256:866771c43bf5,14.6194,49293124,200,unknown
stagger,A,0,1,32,2,34.446,410464994,sha256:ed881fbf1b07,10.1018,25614562,200,unknown
stagger,A,0,1,32,2,34.446,410464994,sha256:9da421ddeb65,20.8986,67778971,200,unknown
stagger,A,0,1,32,2,34.446,410464994,sha256:a793e3c6bce8,34.3937,236030458,200,unknown
stagger,A,0,1,32,2,34.446,410464994,sha256:10c3183ecaa6,4.1769,6085049,200,unknown
stagger,A,0,1,32,2,34.446,410464994,sha256:15991188a884,5.9835,25656055,200,unknown
stagger,A,0,1,32,2,34.446,410464994,sha256:5142ad1c6011,0.1539,250,200,unknown
stagger,A,0,1,33,2,34.446,410464994,sha256:299c82f5afaa,0.1274,6525,200,unknown
stagger,A,0,1,33,2,34.446,410464994,sha256:866771c43bf5,14.6165,49293124,200,unknown
stagger,A,0,1,33,2,34.446,410464994,sha256:ed881fbf1b07,10.0999,25614562,200,unknown
stagger,A,0,1,33,2,34.446,410464994,sha256:9da421ddeb65,20.8972,67778971,200,unknown
stagger,A,0,1,33,2,34.446,410464994,sha256:a793e3c6bce8,34.3914,236030458,200,unknown
stagger,A,0,1,33,2,34.446,410464994,sha256:10c3183ecaa6,4.1716,6085049,200,unknown
stagger,A,0,1,33,2,34.446,410464994,sha256:15991188a884,5.9788,25656055,200,unknown
stagger,A,0,1,33,2,34.446,410464994,sha256:5142ad1c6011,0.1528,250,200,unknown
stagger,A,0,1,34,2,34.446,410464994,sha256:299c82f5afaa,0.1249,6525,200,unknown
